epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.7523,2.46481,4.37464,4.84852,1.55488,0.02852,0.02165,0.01572,0.00484,0.00532,0.00373,0.00261,0.00073,3.79803,43.917,8.58758,1.87598,0.0739,0.0029,0.0029
2,131.376,2.3105,3.99814,3.70452,1.45002,0.02502,0.02021,0.01327,0.00407,0.00806,0.00651,0.00423,0.00127,3.89055,25.8158,5.65151,1.85223,0.0466664,0.00566636,0.00566636
3,194.839,2.48791,4.20895,4.05789,1.48926,0.09082,0.02529,0.04908,0.01694,0.09029,0.02211,0.04867,0.0163,3.79518,32.5552,5.9923,2.31606,0.0191951,0.00819512,0.00819512
4,259.936,2.53497,4.20019,3.88298,1.42589,0.00039,0.00031,0.00019,9e-05,0.0005,0.0004,0.00025,8e-05,3.72632,12.8843,34.3822,2.18393,0.008812,0.008812,0.008812
5,322.015,2.39012,4.06723,3.55928,1.383,0.00794,0.00642,0.00402,0.00144,0.00794,0.00642,0.00402,0.00146,3.40867,5.7584,9.76975,1.9176,0.008416,0.008416,0.008416
6,381.615,2.3419,3.98221,3.47039,1.3912,0.02889,0.02335,0.01799,0.00664,0.03044,0.02461,0.01887,0.00666,3.44508,7.69646,5.63305,1.7052,0.00802,0.00802,0.00802
7,447.493,2.35242,4.21239,3.37208,1.36666,0.03854,0.03112,0.02088,0.00693,0.03715,0.03,0.02005,0.00637,3.44702,5.51806,5.65101,1.52607,0.007624,0.007624,0.007624
8,510.034,2.33584,4.02666,3.43091,1.34814,0.04422,0.03575,0.02681,0.01003,0.04294,0.03471,0.0258,0.00848,3.38921,8.51284,5.82937,1.43248,0.007228,0.007228,0.007228
9,578.572,2.28513,3.92515,3.29654,1.30671,0.06045,0.04854,0.03729,0.01215,0.07415,0.05955,0.0465,0.01592,3.29864,4.61341,5.24908,1.36298,0.006832,0.006832,0.006832
10,638.753,2.24743,3.96183,3.28952,1.35054,0.06558,0.04299,0.03937,0.01341,0.06772,0.04824,0.04139,0.01277,3.27976,4.75003,5.06283,1.40013,0.006436,0.006436,0.006436
11,702.043,2.28316,3.92282,3.28848,1.31417,0.11044,0.06591,0.06863,0.02487,0.11235,0.07071,0.07129,0.02394,3.16309,4.40876,4.65177,1.32687,0.00604,0.00604,0.00604
12,766.771,2.11349,3.76198,3.08714,1.26837,0.12672,0.07763,0.07895,0.03006,0.12689,0.07984,0.07953,0.02831,3.21199,4.23934,4.65474,1.33615,0.005644,0.005644,0.005644
13,831.027,2.17511,3.73537,3.15038,1.26837,0.12127,0.09474,0.0744,0.02547,0.12341,0.09479,0.07741,0.0253,3.22397,4.23756,4.52227,1.33034,0.005248,0.005248,0.005248
14,898.051,2.11472,3.69315,2.94772,1.26568,0.11872,0.09357,0.07305,0.02582,0.12613,0.09608,0.07847,0.02589,3.24413,4.16185,4.45902,1.33173,0.004852,0.004852,0.004852
15,965.248,2.09766,3.75684,2.97571,1.26741,0.14018,0.08821,0.08717,0.03051,0.13639,0.08665,0.08449,0.02707,3.18741,4.08259,4.30307,1.25465,0.004456,0.004456,0.004456
16,1020.72,2.09351,3.73355,3.3501,1.26658,0.1438,0.07879,0.08942,0.03159,0.13708,0.07894,0.08756,0.03085,3.13725,4.04853,4.32619,1.24249,0.00406,0.00406,0.00406
17,1077.6,2.04149,3.65996,3.14761,1.25351,0.1388,0.06917,0.08384,0.0298,0.15146,0.07434,0.09137,0.03345,3.11885,4.04357,4.37883,1.21058,0.003664,0.003664,0.003664
18,1134.97,2.04276,3.65066,3.12861,1.24525,0.14633,0.06435,0.08581,0.0275,0.14116,0.06354,0.08314,0.02803,3.23335,4.12004,4.43306,1.19074,0.003268,0.003268,0.003268
19,1189.39,2.00074,3.66232,3.03464,1.21251,0.13474,0.06678,0.08007,0.02653,0.13667,0.06705,0.08057,0.02564,3.22571,4.14157,4.46212,1.20405,0.002872,0.002872,0.002872
20,1245.25,2.01153,3.54562,3.04236,1.2191,0.16172,0.07675,0.09726,0.0345,0.16379,0.0772,0.09701,0.03268,3.12666,4.03913,4.42004,1.21715,0.002476,0.002476,0.002476
21,1303.86,1.95958,3.54125,2.85293,1.21028,0.17477,0.08115,0.10575,0.03896,0.16977,0.07993,0.10205,0.03438,3.07645,3.99091,4.36122,1.21018,0.00208,0.00208,0.00208
22,1359.12,1.93774,3.48836,2.84825,1.21827,0.20066,0.0797,0.11911,0.04432,0.19526,0.0788,0.11493,0.04148,3.07019,3.97555,4.31605,1.19711,0.001684,0.001684,0.001684
23,1415.18,1.9947,3.55284,3.04483,1.22984,0.20297,0.08257,0.12292,0.04575,0.19668,0.08108,0.11788,0.0436,3.09886,3.96142,4.25774,1.17261,0.001288,0.001288,0.001288
24,1471.51,1.90793,3.50552,2.81369,1.18331,0.18893,0.08666,0.11802,0.04447,0.17907,0.08552,0.11182,0.04136,3.07603,3.94523,4.22675,1.17169,0.000892,0.000892,0.000892
25,1525.4,1.98034,3.52191,2.94516,1.2058,0.1974,0.08988,0.12331,0.04413,0.19258,0.09005,0.11994,0.04298,3.06202,3.93484,4.20971,1.16923,0.000496,0.000496,0.000496
